"special_activity_type","product_name","activity_name","unit","ISIC_number","ISIC_class","CPC_number","CPC_description","FAO_code","FAO_name","ProductCategory","ProductSubcategory","ProductName","ActivityName","Unit","ProductSubgroup","FeedIngredients"
"ordinary transforming activity","protein feed, 100% crude","Distiller's Dried Grains with Solubles to generic market for protein feed","kg","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0850","Feed Supplements",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","Distiller's Dried Grains with Solubles to generic market for protein feed","kg","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0851","Non-Protein Nitrogens",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","Distiller's Dried Grains with Solubles to generic market for protein feed","kg","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0852","Other Concentrates nes",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","Distiller's Dried Grains with Solubles to generic market for protein feed","kg","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0853","Vitamins",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","Distiller's Dried Grains with Solubles to generic market for protein feed","kg","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0854","Feed Additives",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","Distiller's Dried Grains with Solubles to generic market for protein feed","kg","108","Manufacture of prepared animal feeds","23319","Preparations used in animal feeding n.e.c.","0855","Feed Minerals",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","lithium","electrolysis of lithium chloride","kg","2011","Manufacture of basic chemicals","34231","Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","anode slime, silver and tellurium containing, from primary copper production","electrolytic refining of primary copper","kg","2420","Manufacture of basic precious and other non-ferrous metals","4","Metal products, machinery and equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","copper, cathode","electrolytic refining of primary copper","kg","2420","Manufacture of basic precious and other non-ferrous metals","41412","Unrefined copper; copper anodes for electrolytic refining",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","glycerine","esterification of palm oil","kg","19a","Liquid and gaseous fuels from biomass","34570","Glycerol",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","vegetable oil methyl ester","esterification of palm oil","kg","19a","Liquid and gaseous fuels from biomass","35491","Biodiesel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","glycerine","esterification of rape oil","kg","19a","Liquid and gaseous fuels from biomass","34570","Glycerol",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","vegetable oil methyl ester","esterification of rape oil","kg","19a","Liquid and gaseous fuels from biomass","35491","Biodiesel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","vegetable oil methyl ester","esterification of soybean oil","kg","19a","Liquid and gaseous fuels from biomass","35491","Biodiesel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","potassium sulfate, as K2O","esterification of rape oil","kg","19a","Liquid and gaseous fuels from biomass","34632","Potassium sulphate (sulphate of potash)","310430","Potassium sulphate",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","glycerine","esterification of soybean oil","kg","19a","Liquid and gaseous fuels from biomass","34570","Glycerol",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0840","Compound Feed, Cattle",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0841","Compound Feed, Poultry",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0842","Compound Feed, Pigs",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0845","Compound Feed nes",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0849","Feed Yeast",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0850","Feed Supplements",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0851","Non-Protein Nitrogens",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0852","Other Concentrates nes",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0853","Vitamins",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0854","Feed Additives",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","protein feed, 100% crude","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0855","Feed Minerals",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","grass fibre","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0840","Compound Feed, Cattle",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","grass fibre","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0841","Compound Feed, Poultry",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","grass fibre","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0842","Compound Feed, Pigs",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","grass fibre","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0845","Compound Feed nes",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","grass fibre","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0849","Feed Yeast",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","grass fibre","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0850","Feed Supplements",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","grass fibre","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0851","Non-Protein Nitrogens",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","grass fibre","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0852","Other Concentrates nes",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","grass fibre","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0853","Vitamins",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","grass fibre","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0854","Feed Additives",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","grass fibre","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0855","Feed Minerals",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","ethanol, without water, in 95% solution state, from fermentation","ethanol production from grass","kg","19a","Liquid and gaseous fuels from biomass","35491","Biodiesel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","ethanol, without water, in 95% solution state, from fermentation","ethanol production from maize","kg","19a","Liquid and gaseous fuels from biomass","35491","Biodiesel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from maize","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0840","Compound Feed, Cattle",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from maize","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0841","Compound Feed, Poultry",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from maize","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0842","Compound Feed, Pigs",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from maize","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0845","Compound Feed nes",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from maize","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0849","Feed Yeast",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from maize","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0850","Feed Supplements",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from maize","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0851","Non-Protein Nitrogens",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from maize","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0852","Other Concentrates nes",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from maize","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0853","Vitamins",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from maize","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0854","Feed Additives",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from maize","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0855","Feed Minerals",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","ethanol, without water, in 95% solution state, from fermentation","ethanol production from potatoes","kg","19a","Liquid and gaseous fuels from biomass","35491","Biodiesel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from potatoes","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0840","Compound Feed, Cattle",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from potatoes","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0841","Compound Feed, Poultry",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from potatoes","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0842","Compound Feed, Pigs",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from potatoes","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0845","Compound Feed nes",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from potatoes","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0849","Feed Yeast",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","Distiller's Dried Grains with Solubles","ethanol production from potatoes","kg","19a","Liquid and gaseous fuels from biomass","23319","Preparations used in animal feeding n.e.c.","0850","Feed Supplements",NA,NA,NA,NA,NA,NA,NA
